Character,CRA
v,1.0
T,1.0
o,1.0
n,1.0
m,1.0
l,1.0
i,1.0
g,1.0
f,1.0
c,1.0
A,1.0
t,1.0
Y,1.0
S,1.0
P,1.0
M,1.0
L,1.0
I,1.0
G,1.0
D,1.0
s,1.0
e,0.8333333333333334
u,0.75
r,0.75
J,0.6666666666666666
E,0.6666666666666666
a,0.5714285714285714
R,0.5
1,0.0
